ID_2,NAME_2,n_yfv_human_rel,n_yfv_human_str,n_yfv_nhp_str,n_chik_rel,n_chik_str,2016_vaccination,EVI
2063,NOVA ERA,0,0,0,5,0,0.794345037,0.449041149
2064,NOVA LIMA,1,0,0,3,0,0.778750858,0.32174617
2065,NOVA MODICA,0,0,0,0,0,0.696889327,0.398149858
2066,NOVA PONTE,0,0,0,0,0,0.792932642,0.353084097
2067,NOVA PORTEIRINHA,0,0,0,0,0,0.743522943,0.421556242
2068,NOVA RESENDE,0,0,0,0,0,0.808230981,0.448599176
2069,NOVA SERRANA,0,0,0,2,0,0.68441461,0.38345477
2070,NOVA UNIAO,0,0,0,0,0,0.89387419,0.422932845
2071,NOVO CRUZEIRO,20,11,1,2,0,0.732341675,0.441183435
2072,NOVO ORIENTE DE MINAS,0,0,0,0,0,0.720511282,0.470810981
2073,NOVORIZONTE,0,0,0,0,0,0.709561044,0.379333035
2074,OLIMPIO NORONHA,0,0,0,0,0,0.776898725,0.455902318
2075,OLARIA,1,0,0,0,0,0.827151498,0.446765992
2076,OLHOS-D'AGUA,0,0,0,0,0,0.703523885,0.347006492
2077,OLIVEIRA FORTES,0,0,0,0,0,0.708521655,0.445274821
2078,OLIVEIRA,0,0,0,0,0,0.73851195,0.376027378
2079,ONCA DE PITANGUI,0,0,0,0,0,0.824798176,0.409136859
2080,ORATORIOS,0,0,0,0,0,0.774000147,0.397306174
2081,ORIZANIA,0,0,0,0,0,0.686496928,0.447214907
2082,OURO BRANCO,0,0,0,0,0,0.610383335,0.372660371
2083,OURO FINO,0,0,1,0,0,0.697355938,0.436414327
2084,OURO PRETO,0,0,0,0,0,0.777236448,0.386668945
2085,OURO VERDE DE MINAS,0,0,0,0,0,0.724715004,0.417849438
2086,PADRE CARVALHO,0,0,0,0,0,0.769150517,0.386135206
2087,PADRE PARAISO,1,1,0,35,0,0.697233428,0.445088757
2088,PAI PEDRO,0,0,0,0,0,0.708061992,0.333964952
2089,PAINEIRAS,0,0,0,0,0,0.816274528,0.342583069
2090,PAINS,0,0,0,0,0,0.843451475,0.405501877
2091,PAIVA,0,0,0,0,0,0.782283373,0.442046553
2092,PALMOPOLIS,0,0,0,0,0,0.771288466,0.436136122
2093,PALMA,0,0,0,0,0,0.836893577,0.439576861
2094,PAPAGAIOS,0,0,0,0,0,0.813977411,0.346515532
2095,PARA DE MINAS,1,0,0,0,0,0.853661254,0.408252928
2096,PARACATU,0,0,0,0,0,0.835163331,0.330566258
2097,PARAGUACU,0,0,0,0,0,0.768073558,0.38236423
2098,PARAISOPOLIS,0,0,0,0,0,0.697115296,0.435504362
2099,PARAOPEBA,0,0,0,0,0,0.811227654,0.336601972
2100,PASSA QUATRO,0,0,0,0,0,0.697955137,0.466304339
2101,PASSA TEMPO,0,0,0,0,0,0.812694935,0.39465827
2102,PASSA VINTE,0,0,0,0,0,0.794389319,0.482721594
2103,PASSABEM,0,0,0,0,0,0.996082542,0.426290333
2104,PASSOS,0,0,0,0,0,0.725433053,0.404193084
2105,PATIS,0,0,0,0,0,0.732430178,0.372940268
2106,PATOS DE MINAS,0,0,0,1,0,0.819597617,0.357699774
2107,PATROCINIO DO MURIAE,0,0,0,0,0,0.722224046,0.410389016
2108,PATROCINIO,0,0,0,0,0,0.774002802,0.365924761
2109,PAULA CANDIDO,0,0,0,0,0,0.671055402,0.431156305
2110,PAULISTAS,0,0,0,0,0,0.830227978,0.473268622
2111,PAVAO,0,0,0,0,0,0.638382624,0.459222695
2112,PECANHA,1,0,1,0,0,0.723312046,0.463010372
2113,PEDRA AZUL,0,0,0,13,12,0.702819106,0.447707371
2114,PEDRA BONITA,0,0,0,0,0,0.790535133,0.453553149
2115,PEDRA DO ANTA,0,0,0,0,0,0.638560186,0.40376852
2116,PEDRA DO INDAIA,0,0,0,0,0,0.804593621,0.399390781
2117,PEDRA DOURADA,0,0,0,0,0,0.773948865,0.480191752
2118,PEDRALVA,0,0,0,0,0,0.758824988,0.451038187
2119,PEDRAS DE MARIA DA CRUZ,0,0,0,0,0,0.722894994,0.382348798
2120,PEDRINOPOLIS,0,0,0,0,0,0.842934706,0.340536011
2121,PEDRO LEOPOLDO,0,0,0,1,0,0.721676393,0.3963079
2122,PEDRO TEIXEIRA,0,0,0,0,0,0.721472275,0.446831375
2123,PEQUERI,0,0,0,0,0,0.776133896,0.429493338
2124,PEQUI,0,0,0,0,0,0.811131643,0.404562377
2125,PERDOES,0,0,0,0,0,0.761962885,0.403983268
2126,PERDIGAO,0,0,0,0,0,0.752801204,0.385886826
2127,PERDIZES,0,0,0,0,0,0.764106338,0.350290388
2128,PERIQUITO,0,0,0,16,0,0.684745722,0.40624014
2129,PESCADOR,0,0,0,0,0,0.743967043,0.409589794
2130,PIAU,0,0,0,0,0,0.733760625,0.447569355
2131,PIEDADE DE CARATINGA,2,2,3,0,0,0.717643095,0.459988813
2132,PIEDADE DO PONTE NOVA,0,0,0,0,0,0.72455506,0.375383727
2133,PIEDADE DO RIO GRANDE,0,0,0,0,0,0.805116799,0.351760378
2134,PIEDADE DOS GERAIS,0,0,0,0,0,0.727210367,0.392320825
2135,PIMENTA,0,0,0,0,0,0.830937956,0.355331945
2136,PINGO D'AGUA,0,0,1,10,0,0.712659477,0.453426078
2137,PINTOPOLIS,0,0,0,0,0,0.779531643,0.366935413
2138,PIRACEMA,0,0,0,0,0,0.817024432,0.411123176
2139,PIRAJUBA,0,0,0,0,0,0.759136137,0.364353066
2140,PIRANGA,0,0,0,0,0,0.7442195,0.443416969
2141,PIRANGUCU,0,0,0,0,0,0.693335049,0.459003928
2142,PIRANGUINHO,0,0,0,0,0,0.799366847,0.414910269
2143,PIRAPETINGA,0,0,0,0,0,0.712038353,0.419202305
2144,PIRAPORA,0,0,0,0,0,0.782560369,0.331864919
2145,PIRAUBA,0,0,0,0,0,0.689727484,0.406496715
2146,PITANGUI,0,0,0,1,0,0.787900604,0.364816948
