sequenceID	latitude	longitude	host
BC03_library5_48BC|RJ168|NHP|Divinopolis-MG|2017-01-23	-19.829017	-42.316527	Monkey
BC13_library5_48BC|RJ143|NHP|BeloHorizonte-MG|2017-01-24	-18.221348	-42.498513	Monkey
BC15_library5_48BC|RJ171|NHP|SaoRoqueMinas-MG|2017-02-03	-20.180363	-46.503451	Monkey
BC30_library5_48BC|RJ148|Human|TeofiloOtoni-MG|2017-01-24	-17.860009	-41.509104	Human
BC38_library5_48BC|RJ162|NHP|ChapadaGaucha-MG|2017-01-23	-15.569408	-45.374536	Monkey
BC40_library5_48BC|RJ185|Human|SaoJoaoEvangelista-MG|2017-01-22	-18.496839	-42.797966	Human
BC42_library5_48BC|RJ150|Human|TeofiloOtoni-MG|2017-01-27	-17.860009	-41.509104	Human
BC50_library5_48BC|RJ163|NHP|Sacramento-MG|2017-02-09	-19.850234	-47.370655	Monkey
BC62_library5_48BC|RJ164|NHP|Juatuba-MG|2017-02-14	-19.943241	-44.341398	Monkey
BC64_library5_48BC|RJ157|Human|TeofiloOtoni-MG|2017-02-05	-17.860009	-41.509104	Human
BC73_library5_48BC|RJ151|NHP|Itamarandiba-MG|2017-01-13	-17.857298	-42.858392	Monkey
BC85_library5_48BC|RJ153|NHP|FelicianoDosSantos-MG|2017-01-24	-18.077954	-43.247826	Monkey
FioRJ|1536|Human|EspiritoSanto_Vitoria|22-02-2017	-20.297618	-40.295777	Human
FioRJ|1818|Human|EspiritoSanto_Cariacia|10-03-2017	-20.284466	-40.431258	Human
FioRJ|2109|Monkey|EspiritoSanto_Cariacica|08-03-2017	-20.284466	-40.431258	Monkey
FioRJ|2115|Monkey|EspiritoSanto_Cariacia|09-03-2017	-20.284466	-40.431258	Monkey
FioRJ|3919|Human|EspiritoSanto_DomingosMartins|10-04-2017	-20.360797	-40.65981	Human
FioRJ|4278|Monkey|RioJaneiro_Marica|17-04-2017	-22.916099	-42.819192	Monkey
FioRJ|438|Monkey|Espirito_Santo_DomingosMartins|31-01-2017	-20.360797	-40.65981	Monkey
